date,hires,hires_private,unemp,vacancies,empl,ur,eeflow,find_crude,sep_crude,lf,sep_approx,sep,find
2010-09-01,4034,3784,14579,2918,130339,9.5,133624,0.2766993620961657,0.02904578939131021,144918,0.028794144500111196,0.028353272572507415,0.2438718971158953
2010-10-01,4173,3865,14516,3235,130620,9.4,133144,0.28747588867456597,0.02982641670574967,145136,0.03092175777063233,0.030433119602704672,0.2509032019144689
2010-11-01,4182,3903,15081,3211,130754,9.8,132891,0.2773025661428287,0.030128216720617756,145835,0.03136424124692172,0.030868023360622554,0.2427726349498709
2010-12-01,4299,4013,14348,3058,130835,9.3,133115,0.29962364092556454,0.030722159433382034,145183,0.032804677647418456,0.032271584888870164,0.2589603747169975
2011-01-01,4000,3714,14013,3104,130842,9.1,133256,0.28544922571897524,0.028576325126982115,144855,0.0289662340838569,0.028528060898328822,0.25003531813404944
2011-02-01,4231,4003,13820,3226,131052,9,133505,0.306150506512301,0.030278621523194604,144872,0.030568018801697017,0.030079981646604304,0.265686393171942
2011-03-01,4430,4179,13737,3261,131277,9,133742,0.32248671471209145,0.03189429046603102,145014,0.03125452287910302,0.030733270161304782,0.27864637443642315
2011-04-01,4296,4028,13957,3259,131604,9.1,133784,0.3078025363616823,0.030814115301334533,145561,0.0318835293760068,0.03136881641862965,0.26580311023223
2011-05-01,4261,4022,13855,3179,131704,9,133609,0.3075424034644533,0.03041628166131955,145559,0.030591326003766017,0.03010190331272211,0.2667736899114477
2011-06-01,4366,4075,13962,3455,131936,9.1,133632,0.31270591605787135,0.031304992696662585,145898,0.03267493330099447,0.03214024728429521,0.26901474401300873
2011-07-01,4261,4020,13763,3623,131991,9,133400,0.30959819806728184,0.030619602006654246,145754,0.03127485964952159,0.030775515222613126,0.26742920166975936
2011-08-01,4298,4057,13818,3329,132124,9,133985,0.3110435663627153,0.030762550519389423,145942,0.030857376403984116,0.030361015212409415,0.26926826008535176
2011-09-01,4429,4159,13948,3774,132345,9,134017,0.31753656438199024,0.03140471515865837,146293,0.031863689599153755,0.03133655830631277,0.2739414995835827
2011-10-01,4370,4101,13594,3619,132557,8.8,134264,0.3214653523613359,0.031018586631356974,146151,0.03188062493870558,0.031360941293591016,0.2762344989276734
2011-11-01,4365,4093,13302,3565,132701,8.6,134531,0.32814614343707715,0.030875895334342048,146003,0.03138634976375465,0.030875886381950268,0.28164807783319556
2011-12-01,4356,4062,13093,3768,132901,8.5,134773,0.3326968609180478,0.03090626576834324,145994,0.030180359816705637,0.029691328905838144,0.28640278183708723
2012-01-01,4457,4172,12797,3909,133246,8.3,134928,0.34828475423927485,0.03152413806091583,146043,0.03140807228734821,0.030888764259454193,0.29692169829131665
2012-02-01,4560,4260,12813,3616,133518,8.3,136005,0.35588855069070474,0.0322123769981772,146331,0.032460042840665726,0.031912152923742165,0.30182151928177936
2012-03-01,4575,4279,12713,3979,133744,8.2,136074,0.3598678518052387,0.03214505865798428,146457,0.033586553415480336,0.0330186548668534,0.30311204272344694
